,model,metric,fold,value
269,DecisionTree,recall,9,0.5384615384615384
270,DecisionTree,f1,0,0.7428571428571429
271,DecisionTree,f1,1,0.7457627118644068
272,DecisionTree,f1,2,0.6153846153846154
273,DecisionTree,f1,3,0.7169811320754716
274,DecisionTree,f1,4,0.7241379310344828
275,DecisionTree,f1,5,0.711864406779661
276,DecisionTree,f1,6,0.6461538461538462
277,DecisionTree,f1,7,0.6557377049180327
278,DecisionTree,f1,8,0.6206896551724138
279,DecisionTree,f1,9,0.49122807017543857
280,DecisionTree,balanced_accuracy,0,0.8114814814814815
281,DecisionTree,balanced_accuracy,1,0.8074074074074074
282,DecisionTree,balanced_accuracy,2,0.6903703703703703
283,DecisionTree,balanced_accuracy,3,0.7818518518518518
284,DecisionTree,balanced_accuracy,4,0.788888888888889
285,DecisionTree,balanced_accuracy,5,0.778888888888889
286,DecisionTree,balanced_accuracy,6,0.7188888888888889
287,DecisionTree,balanced_accuracy,7,0.7303703703703703
288,DecisionTree,balanced_accuracy,8,0.7061538461538461
289,DecisionTree,balanced_accuracy,9,0.5992307692307692
290,DecisionTree,mcc,0,0.5986257928321732
291,DecisionTree,mcc,1,0.5952918846948437
292,DecisionTree,mcc,2,0.3633892979661664
293,DecisionTree,mcc,3,0.5687822180346598
294,DecisionTree,mcc,4,0.5621703750837337
295,DecisionTree,mcc,5,0.5400660110544787
296,DecisionTree,mcc,6,0.41782699435409404
297,DecisionTree,mcc,7,0.4427410738901448
298,DecisionTree,mcc,8,0.39617930531268536
299,DecisionTree,mcc,9,0.19158474532226857
300,DecisionTree,tn_rate,0,0.42857142857142855
301,DecisionTree,tn_rate,1,0.5194805194805194
302,DecisionTree,tn_rate,2,0.4155844155844156
303,DecisionTree,tn_rate,3,0.5584415584415584
304,DecisionTree,tn_rate,4,0.5194805194805194
305,DecisionTree,tn_rate,5,0.5064935064935064
306,DecisionTree,tn_rate,6,0.42857142857142855
307,DecisionTree,tn_rate,7,0.4675324675324675
308,DecisionTree,tn_rate,8,0.47368421052631576
309,DecisionTree,tn_rate,9,0.4342105263157895
310,DecisionTree,fp_rate,0,0.22077922077922077
311,DecisionTree,fp_rate,1,0.12987012987012986
312,DecisionTree,fp_rate,2,0.23376623376623376
313,DecisionTree,fp_rate,3,0.09090909090909091
314,DecisionTree,fp_rate,4,0.12987012987012986
315,DecisionTree,fp_rate,5,0.14285714285714285
316,DecisionTree,fp_rate,6,0.22077922077922077
317,DecisionTree,fp_rate,7,0.18181818181818182
318,DecisionTree,fp_rate,8,0.18421052631578946
319,DecisionTree,fp_rate,9,0.2236842105263158
320,DecisionTree,fn_rate,0,0.012987012987012988
321,DecisionTree,fn_rate,1,0.06493506493506493
322,DecisionTree,fn_rate,2,0.09090909090909091
323,DecisionTree,fn_rate,3,0.1038961038961039
324,DecisionTree,fn_rate,4,0.07792207792207792
325,DecisionTree,fn_rate,5,0.07792207792207792
326,DecisionTree,fn_rate,6,0.07792207792207792
327,DecisionTree,fn_rate,7,0.09090909090909091
328,DecisionTree,fn_rate,8,0.10526315789473684
329,DecisionTree,fn_rate,9,0.15789473684210525
330,DecisionTree,tp_rate,0,0.33766233766233766
331,DecisionTree,tp_rate,1,0.2857142857142857
332,DecisionTree,tp_rate,2,0.2597402597402597
333,DecisionTree,tp_rate,3,0.24675324675324675
334,DecisionTree,tp_rate,4,0.2727272727272727
335,DecisionTree,tp_rate,5,0.2727272727272727
336,DecisionTree,tp_rate,6,0.2727272727272727
337,DecisionTree,tp_rate,7,0.2597402597402597
338,DecisionTree,tp_rate,8,0.23684210526315788
339,DecisionTree,tp_rate,9,0.18421052631578946
340,DecisionTree,relative_accuracy,0,1.0
341,DecisionTree,relative_accuracy,1,0.95
342,DecisionTree,relative_accuracy,2,0.95
343,DecisionTree,relative_accuracy,3,0.8260869565217391
344,DecisionTree,relative_accuracy,4,1.0
